AAPL,GE,JPM,MMM,MSFT,NKE,NVDA,VOD
6.478997230529785,68.03530883789062,29.852800369262695,54.18061828613281,23.474931716918945,13.857421875,4.240800857543945,10.326457977294922
6.490199089050293,68.38763427734375,30.431047439575195,53.84126663208008,23.482501983642578,13.912552833557129,4.302728652954102,10.250755310058594
6.386965751647949,68.03530883789062,30.59825897216797,54.60483169555664,23.338397979736328,13.827733993530273,4.3302507400512695,10.170602798461914
6.375156402587891,71.55818939208984,31.20436668395996,54.64398193359375,23.095678329467773,13.963445663452148,4.245389938354492,9.979122161865234
6.417542457580566,73.09945678710938,31.127714157104492,55.029029846191406,23.254961013793945,13.935882568359375,4.2545623779296875,9.827723503112793
6.360929012298584,73.80402374267578,31.023225784301758,54.807132720947266,22.959156036376953,13.764116287231445,4.194929122924805,9.970216751098633
6.288571834564209,73.84809112548828,30.298673629760742,54.85280990600586,22.807456970214844,13.745033264160156,4.05272912979126,9.956857681274414
6.3772759437561035,74.11226654052734,30.828147888183594,54.6766242980957,23.019834518432617,13.868021965026855,4.107774257659912,10.077089309692383
6.340341567993164,73.5398178100586,31.134685516357422,54.4938850402832,23.482501983642578,13.781078338623047,4.043554782867432,10.019200325012207
6.234381675720215,72.3948974609375,30.431047439575195,54.40904998779297,23.406660079956055,13.653850555419922,3.9242889881134033,9.836627006530762
6.510179042816162,72.83524322509766,30.15237808227539,55.55113983154297,23.588693618774414,13.721707344055176,3.9976847171783447,10.094901084899902
6.409972667694092,72.65912628173828,30.235977172851562,55.290077209472656,23.201871871948242,13.609321594238281,3.9816269874572754,9.961311340332031
6.299169063568115,70.54540252685547,28.243459701538086,53.97175979614258,22.761953353881836,13.4948148727417,3.9105279445648193,9.80990982055664
5.986738204956055,70.94169616699219,27.282039642333984,53.17559051513672,21.96554946899414,13.354863166809082,3.7752063274383545,9.59616756439209
6.147796154022217,72.08663177490234,27.316879272460938,53.403995513916016,22.238597869873047,13.501177787780762,3.8394272327423096,9.685223579406738
6.234683513641357,71.99860382080078,26.780439376831055,53.27346420288086,22.375123977661133,13.516021728515625,3.717867374420166,9.694129943847656
6.293416976928711,71.77839660644531,27.40047836303711,53.71073913574219,22.504070281982422,13.571152687072754,3.8187854290008545,9.801005363464355
6.033361911773682,71.161865234375,27.504985809326172,52.699161529541016,22.11724090576172,13.469368934631348,3.690345287322998,9.636242866516113
5.814478874206543,70.80957794189453,27.128774642944336,52.529476165771484,21.373933792114258,13.518142700195312,3.529797077178955,9.556090354919434
5.8953094482421875,71.55818939208984,27.609485626220703,52.49686050415039,21.54838752746582,13.592362403869629,3.800436496734619,9.627337455749512
5.929519176483154,74.20035552978516,28.25043296813965,52.49032211303711,21.5863094329834,13.556312561035156,3.8394272327423096,9.747568130493164
6.031543731689453,73.45172882080078,28.06930160522461,53.18864059448242,21.71525001525879,13.571152687072754,3.871537685394287,9.645148277282715
5.8141770362854,70.63346862792969,26.717729568481445,51.69414520263672,21.11605453491211,13.1661376953125,3.6467676162719727,9.823270797729492
5.9174089431762695,69.53255462646484,26.682893753051758,51.256874084472656,21.25257682800293,13.0834379196167,3.7201616764068604,9.827723503112793
5.876843452453613,68.69589233398438,26.2648868560791,50.59773635864258,21.025033950805664,12.99862003326416,3.7132816314697266,9.694129943847656
5.939509868621826,68.69589233398438,26.7455997467041,51.374366760253906,21.2449893951416,13.25520133972168,3.683464765548706,9.685223579406738
5.907116889953613,69.09219360351562,27.080007553100586,51.30909729003906,21.22982406616211,13.282767295837402,3.7545647621154785,9.698587417602539
6.014589309692383,69.44448852539062,27.184507369995117,52.38591003417969,21.328428268432617,13.348503112792969,3.9265830516815186,9.725303649902344
6.066359043121338,68.47570037841797,27.1357421875,51.67454147338867,21.184314727783203,13.250961303710938,3.9793341159820557,9.756474494934082
6.1577887535095215,70.63346862792969,27.91602897644043,52.51642990112305,21.603422164916992,13.496936798095703,4.05272912979126,9.854436874389648
6.132053852081299,71.1178207397461,27.89513397216797,52.644527435302734,21.786314010620117,13.67293643951416,4.091718673706055,9.8633451461792
6.143559455871582,71.51416015625,28.152896881103516,53.281742095947266,22.075885772705078,13.664456367492676,3.8233718872070312,9.925688743591309
6.105412483215332,71.20592498779297,27.888160705566406,53.55105972290039,21.923477172851562,13.645370483398438,3.802729606628418,9.86779499053955
6.067570686340332,71.55818939208984,28.459434509277344,52.999271392822266,21.892993927001953,13.636889457702637,3.809610366821289,9.801005363464355
5.965847969055176,70.23715209960938,27.783655166625977,52.362056732177734,21.588186264038086,13.598719596862793,3.717867374420166,9.689679145812988
6.074836254119873,70.98575592041016,28.459434509277344,52.59856033325195,21.816797256469727,13.76835823059082,3.7958502769470215,9.792097091674805
6.115403175354004,70.54264068603516,28.31313705444336,52.38177490234375,21.7939395904541,14.029181480407715,3.761446475982666,9.796551704406738
6.194723129272461,71.16297912597656,29.239713668823242,52.65111541748047,21.847272872924805,14.33453369140625,3.7155745029449463,9.694129943847656
6.327023506164551,70.4540023803711,29.142187118530273,52.93356704711914,22.113990783691406,14.470240592956543,3.864657163619995,9.627337455749512
6.322783470153809,70.4540023803711,28.995887756347656,53.29485321044922,21.6872501373291,14.425711631774902,3.86236310005188,9.729755401611328
6.337313175201416,71.03007507324219,28.933185577392578,53.20945739746094,21.6872501373291,14.343012809753418,3.8141980171203613,9.965763092041016
6.379094123840332,71.38453674316406,29.20488739013672,53.22259521484375,21.816797256469727,14.398365020751953,3.8210787773132324,9.956857681274414
